OFFICIAL_SYMBOL,IDENTIFIER_ID,Gene_Type
RAF1,5894,PROTEIN_CODING
SYK,6850,PROTEIN_CODING
TOP2A,7153,PROTEIN_CODING
CYP21A2,1589,PROTEIN_CODING
RIGI,23586,PROTEIN_CODING
HSPA1A,3303,PROTEIN_CODING
ITGB2,3689,PROTEIN_CODING
MYD88,4615,PROTEIN_CODING
NFKBIA,4792,PROTEIN_CODING
B2M,567,PROTEIN_CODING
SOX9,6662,PROTEIN_CODING
TNFRSF1B,7133,PROTEIN_CODING
TRAF6,7189,PROTEIN_CODING
HPSE,10855,PROTEIN_CODING
CHEK1,1111,PROTEIN_CODING
PARK7,11315,PROTEIN_CODING
ADM,133,PROTEIN_CODING
EGR1,1958,PROTEIN_CODING
FCGR3A,2214,PROTEIN_CODING
MMP7,4316,PROTEIN_CODING
MYCN,4613,PROTEIN_CODING
PIN1,5300,PROTEIN_CODING
ATP7B,540,PROTEIN_CODING
PRKACA,5566,PROTEIN_CODING
RBP4,5950,PROTEIN_CODING
SCN1A,6323,PROTEIN_CODING
TNFAIP3,7128,PROTEIN_CODING
TSHR,7253,PROTEIN_CODING
VEGFC,7424,PROTEIN_CODING
TRPV1,7442,PROTEIN_CODING
HMGA2,8091,PROTEIN_CODING
KLF4,9314,PROTEIN_CODING
ERBB3,2065,PROTEIN_CODING
FYN,2534,PROTEIN_CODING
GATA3,2625,PROTEIN_CODING
GNB3,2784,PROTEIN_CODING
PDGFRB,5159,PROTEIN_CODING
PRKAA1,5562,PROTEIN_CODING
TGFBR1,7046,PROTEIN_CODING
VKORC1,79001,PROTEIN_CODING
PNPLA3,80339,PROTEIN_CODING
SOCS3,9021,PROTEIN_CODING
BCL2L11,10018,PROTEIN_CODING
CDK4,1019,PROTEIN_CODING
AFP,174,PROTEIN_CODING
H2AX,3014,PROTEIN_CODING
ATR,545,PROTEIN_CODING
STIM1,6786,PROTEIN_CODING
CCR2,729230,PROTEIN_CODING
POSTN,10631,PROTEIN_CODING
CD209,30835,PROTEIN_CODING
IAPP,3375,PROTEIN_CODING
IL6R,3570,PROTEIN_CODING
SMAD2,4087,PROTEIN_CODING
MC1R,4157,PROTEIN_CODING
YBX1,4904,PROTEIN_CODING
PAH,5053,PROTEIN_CODING
PAK1,5058,PROTEIN_CODING
PAX6,5080,PROTEIN_CODING
PLG,5340,PROTEIN_CODING
PPIA,5478,PROTEIN_CODING
PROC,5624,PROTEIN_CODING
BMP4,652,PROTEIN_CODING
TIMP2,7077,PROTEIN_CODING
VCP,7415,PROTEIN_CODING
WNT5A,7474,PROTEIN_CODING
XRCC3,7517,PROTEIN_CODING
RUNX3,864,PROTEIN_CODING
ERG,2078,PROTEIN_CODING
BACE1,23621,PROTEIN_CODING
HDAC2,3066,PROTEIN_CODING
KCNJ11,3767,PROTEIN_CODING
LRP1,4035,PROTEIN_CODING
NBN,4683,PROTEIN_CODING
SDC1,6382,PROTEIN_CODING
SELE,6401,PROTEIN_CODING
SELP,6403,PROTEIN_CODING
PINK1,65018,PROTEIN_CODING
SMARCA4,6597,PROTEIN_CODING
ADAM17,6868,PROTEIN_CODING
CAMP,820,PROTEIN_CODING
SLCO1B1,10599,PROTEIN_CODING
COL2A1,1280,PROTEIN_CODING
ADORA2A,135,PROTEIN_CODING
DNMT3B,1789,PROTEIN_CODING
ALDH1A1,216,PROTEIN_CODING
FGF21,26291,PROTEIN_CODING
GC,2638,PROTEIN_CODING
HSPD1,3329,PROTEIN_CODING
HTR1A,3350,PROTEIN_CODING
APOC3,345,PROTEIN_CODING
LCK,3932,PROTEIN_CODING
LTF,4057,PROTEIN_CODING
ABCC1,4363,PROTEIN_CODING
MYH9,4627,PROTEIN_CODING
NCAM1,4684,PROTEIN_CODING
IL21,59067,PROTEIN_CODING
ROCK1,6093,PROTEIN_CODING
SMARCB1,6598,PROTEIN_CODING
TNNI3,7137,PROTEIN_CODING
TSC2,7249,PROTEIN_CODING
SUMO1,7341,PROTEIN_CODING
HAVCR2,84868,PROTEIN_CODING
CEBPB,1051,PROTEIN_CODING
FGB,2244,PROTEIN_CODING
